Vendor,Domain,Comment
aol,aol.com,
aol,aim.com,
aol,aol.co.uk,
aol,aol.de,
aol,aol.fr,
aol,aol.com.au,
aol,aol.com.mx,
aol,aol.com.ar,
aol,cs.com,
aol,compuserve.com,
aol,love.com,
aol,games.com,
aol,wmconnect.com,
aol,wow.com,
aol,ygm.com,
aol,aol.it,
aol,netscape.net,
aol,aol.at,
aol,goowy.com,
aol,longfordintl.com,
aol,clathrop.com,
aol,aol.nl,
aol,aol.ch,
aol,wild4music.com,
aol,about.me,
aol,aol.se,
aol,aol.jp,
aol,huffingtonpost.it,
aol,huffingtonpost.com,
aol,teamaol.com,
aol,autoblog.com,
apple,icloud.com,
apple,me.com,
apple,mac.com,
google,gmail.com,
google,googlemail.com,
microsoft,live.com,
microsoft,hotmail.com,
microsoft,outlook.com,
yahoo,yahoo.com,
yahoo,ymail.com,
yahoo,rocketmail.com,
yahoo,yahoo.co.uk,
yahoo,yahoo.fr,
yahoo,yahoo.com.br,
yahoo,yahoo.co.in,
yahoo,yahoo.ca,
yahoo,yahoo.com.ar,
yahoo,yahoo.com.cn,
yahoo,yahoo.com.mx,
yahoo,yahoo.co.kr,
yahoo,yahoo.co.nz,
yahoo,yahoo.com.hk,
yahoo,yahoo.com.sg,
yahoo,yahoo.es,
yahoo,yahoo.gr,
yahoo,yahoo.de,
yahoo,yahoo.com.ph,
yahoo,yahoo.com.tw,
yahoo,yahoo.dk,
yahoo,yahoo.ie,
yahoo,yahoo.it,
yahoo,yahoo.se,
yahoo,yahoo.com.au,
yahoo,yahoo.co.id,
yahoo,yahoo.cl,
yahoo,yahoo.co.jp,
yahoo,yahoo.co.th,
yahoo,yahoo.com.co,
yahoo,yahoo.com.my,
yahoo,yahoo.com.tr,
yahoo,yahoo.com.ve,
yahoo,yahoo.com.vn,
yahoo,yahoo.in,
yahoo,yahoo.nl,
yahoo,yahoo.no,
yahoo,yahoo.pl,
yahoo,yahoo.ro,
yahoo,bakuoilservices.com,
yahoo,bbh-systems.com,
yahoo,book-tokyo.com,
yahoo,citlink.net,
yahoo,frontier.com,
yahoo,frontiernet.net,
yahoo,madselectronics.com,
yahoo,mawicoffee.com,
yahoo,nl.rogers.com,
yahoo,odosupo.com,
yahoo,rogers.com,
yahoo,sky.com,
yahoo,tracygirdler.com,
yahoo,xtra.co.nz,
yahoo,y7mail.com,
yahoo,ybb.ne.jp,
yahoo,pacbell.net,
yahoo,bellsouth.net,
yahoo,sbcglobal.net,
yahoo,ymail.com,
yahoo,rocketmail.com,
yahoo,ameritech.net,
yahoo,att.net,
yahoo,flash.net,
yahoo,nvbell.net,
yahoo,prodigy.net,
yahoo,snet.net,
yahoo,swbell.net,
yahoo,wans.net,
